"27.27%","0.00%","18.18%","0.00%","27.27%","0.00%","9.09%","0.00%","9.09%","0.00%","0.00%","9.09%","1_12",
"18.18%","0.00%","18.18%","9.09%","36.36%","0.00%","9.09%","0.00%","9.09%","0.00%","0.00%","0.00%","1_12",
"0.00%","0.00%","9.09%","9.09%","54.55%","0.00%","18.18%","0.00%","9.09%","0.00%","0.00%","0.00%","5_12",
"0.00%","0.00%","9.09%","9.09%","36.36%","0.00%","18.18%","0.00%","27.27%","0.00%","0.00%","0.00%","5_12",
"36.36%","0.00%","18.18%","0.00%","27.27%","0.00%","9.09%","0.00%","0.00%","9.09%","0.00%","0.00%","1_12",
"36.36%","0.00%","0.00%","9.09%","9.09%","0.00%","18.18%","9.09%","18.18%","0.00%","0.00%","0.00%","1_12",
"0.00%","0.00%","0.00%","9.09%","63.64%","0.00%","9.09%","9.09%","0.00%","9.09%","0.00%","0.00%","5_12",
"0.00%","0.00%","0.00%","9.09%","63.64%","9.09%","9.09%","9.09%","0.00%","0.00%","0.00%","0.00%","5_12",
"0.00%","0.00%","0.00%","0.00%","45.45%","0.00%","0.00%","9.09%","18.18%","0.00%","18.18%","9.09%","11_12",
"27.27%","0.00%","0.00%","18.18%","18.18%","0.00%","0.00%","9.09%","18.18%","0.00%","9.09%","0.00%","11_12",
"9.09%","0.00%","0.00%","9.09%","36.36%","0.00%","0.00%","9.09%","18.18%","0.00%","9.09%","9.09%","12_12",
"36.36%","0.00%","9.09%","9.09%","18.18%","0.00%","9.09%","0.00%","9.09%","9.09%","0.00%","0.00%","1_12",
"9.09%","0.00%","0.00%","0.00%","27.27%","9.09%","9.09%","9.09%","27.27%","9.09%","0.00%","0.00%","9_12",
"18.18%","9.09%","9.09%","0.00%","36.36%","9.09%","0.00%","9.09%","9.09%","0.00%","0.00%","0.00%","1_12",
"0.00%","0.00%","0.00%","18.18%","36.36%","9.09%","9.09%","0.00%","27.27%","0.00%","0.00%","0.00%","4_12",
"0.00%","0.00%","0.00%","27.27%","54.55%","9.09%","0.00%","0.00%","9.09%","0.00%","0.00%","0.00%","5_12",
"0.00%","0.00%","0.00%","0.00%","36.36%","27.27%","9.09%","0.00%","27.27%","0.00%","0.00%","0.00%","5_12",
"27.27%","9.09%","0.00%","0.00%","18.18%","0.00%","9.09%","9.09%","18.18%","0.00%","0.00%","9.09%","2_12",
"9.09%","9.09%","0.00%","0.00%","9.09%","9.09%","0.00%","18.18%","45.45%","0.00%","0.00%","0.00%","9_12",
"0.00%","9.09%","0.00%","0.00%","9.09%","9.09%","0.00%","18.18%","54.55%","0.00%","0.00%","0.00%","9_12",
"0.00%","0.00%","0.00%","0.00%","27.27%","9.09%","0.00%","18.18%","36.36%","9.09%","0.00%","0.00%","9_12",
"27.27%","0.00%","0.00%","0.00%","0.00%","18.18%","0.00%","9.09%","36.36%","0.00%","9.09%","0.00%","9_12",
"45.45%","9.09%","0.00%","0.00%","18.18%","18.18%","0.00%","9.09%","0.00%","0.00%","0.00%","0.00%","1_12",
"36.36%","9.09%","0.00%","0.00%","9.09%","18.18%","0.00%","9.09%","18.18%","0.00%","0.00%","0.00%","1_12",
"36.36%","0.00%","0.00%","0.00%","0.00%","18.18%","9.09%","9.09%","27.27%","0.00%","0.00%","0.00%","1_12",
"18.18%","0.00%","9.09%","0.00%","0.00%","0.00%","18.18%","0.00%","45.45%","0.00%","0.00%","9.09%","9_12",
"0.00%","0.00%","9.09%","9.09%","45.45%","0.00%","18.18%","0.00%","18.18%","0.00%","0.00%","0.00%","5_12",
"0.00%","0.00%","0.00%","9.09%","0.00%","0.00%","9.09%","9.09%","63.64%","0.00%","0.00%","9.09%","9_12",
"9.09%","0.00%","9.09%","0.00%","9.09%","0.00%","18.18%","9.09%","45.45%","0.00%","0.00%","0.00%","9_12",
"0.00%","9.09%","0.00%","9.09%","54.55%","9.09%","9.09%","0.00%","9.09%","0.00%","0.00%","0.00%","5_12",
"0.00%","9.09%","0.00%","0.00%","9.09%","0.00%","9.09%","9.09%","54.55%","9.09%","0.00%","0.00%","9_12",
"27.27%","9.09%","0.00%","0.00%","27.27%","0.00%","9.09%","9.09%","9.09%","0.00%","0.00%","9.09%","1_12",
"36.36%","0.00%","9.09%","9.09%","18.18%","0.00%","9.09%","9.09%","9.09%","0.00%","0.00%","0.00%","1_12",
"27.27%","0.00%","9.09%","9.09%","9.09%","0.00%","9.09%","9.09%","27.27%","0.00%","0.00%","0.00%","1_12",
"18.18%","9.09%","0.00%","9.09%","36.36%","0.00%","9.09%","9.09%","9.09%","0.00%","0.00%","0.00%","1_12",
"18.18%","0.00%","0.00%","0.00%","9.09%","9.09%","9.09%","18.18%","36.36%","0.00%","0.00%","0.00%","9_12",
"45.45%","9.09%","0.00%","0.00%","9.09%","9.09%","9.09%","9.09%","9.09%","0.00%","0.00%","0.00%","2_12",
"27.27%","9.09%","0.00%","0.00%","27.27%","9.09%","9.09%","9.09%","9.09%","0.00%","0.00%","0.00%","2_12",
"0.00%","0.00%","9.09%","0.00%","36.36%","9.09%","9.09%","9.09%","27.27%","0.00%","0.00%","0.00%","5_12",
"36.36%","0.00%","0.00%","0.00%","18.18%","0.00%","27.27%","9.09%","9.09%","0.00%","0.00%","0.00%","1_12",
"18.18%","0.00%","0.00%","0.00%","0.00%","0.00%","18.18%","9.09%","45.45%","9.09%","0.00%","0.00%","9_12",
"0.00%","0.00%","0.00%","0.00%","18.18%","0.00%","9.09%","18.18%","45.45%","9.09%","0.00%","0.00%","9_12",
"27.27%","0.00%","0.00%","0.00%","9.09%","0.00%","9.09%","9.09%","27.27%","0.00%","9.09%","9.09%","12_12",
"18.18%","0.00%","0.00%","0.00%","0.00%","0.00%","9.09%","9.09%","45.45%","0.00%","9.09%","9.09%","12_12",
"36.36%","0.00%","0.00%","0.00%","0.00%","0.00%","9.09%","9.09%","27.27%","0.00%","0.00%","18.18%","12_12",
"36.36%","9.09%","0.00%","9.09%","0.00%","0.00%","9.09%","9.09%","27.27%","0.00%","0.00%","0.00%","1_12",
"0.00%","0.00%","0.00%","0.00%","36.36%","9.09%","18.18%","9.09%","27.27%","0.00%","0.00%","0.00%","6_12",
"0.00%","0.00%","0.00%","0.00%","18.18%","0.00%","18.18%","18.18%","45.45%","0.00%","0.00%","0.00%","9_12",
"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","18.18%","18.18%","63.64%","0.00%","0.00%","0.00%","9_12",
"0.00%","0.00%","0.00%","0.00%","9.09%","0.00%","9.09%","9.09%","54.55%","9.09%","9.09%","0.00%","9_12",
"18.18%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","18.18%","45.45%","9.09%","9.09%","0.00%","9_12",
"18.18%","0.00%","0.00%","0.00%","18.18%","0.00%","0.00%","9.09%","27.27%","9.09%","0.00%","18.18%","1_12",
"27.27%","0.00%","9.09%","0.00%","0.00%","0.00%","0.00%","9.09%","36.36%","9.09%","0.00%","9.09%","1_12",
"45.45%","9.09%","9.09%","0.00%","0.00%","0.00%","0.00%","9.09%","18.18%","9.09%","0.00%","0.00%","2_12",
"9.09%","0.00%","0.00%","27.27%","36.36%","0.00%","0.00%","0.00%","18.18%","9.09%","0.00%","0.00%","5_12",
"9.09%","0.00%","0.00%","0.00%","36.36%","0.00%","0.00%","9.09%","18.18%","9.09%","18.18%","0.00%","5_12",
"9.09%","0.00%","0.00%","0.00%","36.36%","0.00%","0.00%","9.09%","18.18%","9.09%","0.00%","18.18%","5_12",
"9.09%","18.18%","0.00%","0.00%","36.36%","0.00%","0.00%","9.09%","18.18%","9.09%","0.00%","0.00%","5_12",
"9.09%","0.00%","18.18%","0.00%","36.36%","0.00%","0.00%","9.09%","18.18%","9.09%","0.00%","0.00%","5_12",
